fac_cd,fac_nm,ctp_cd,ctp_nm,sig_cd,sig_nm,emd_cd,emd_nm,all_addr_nm,lat,lon
SH00000354,용문고등학교,4100000000,경기도,4183000000,양평군,4183040021,용문면,경기도 양평군 용문면 마룡리 663-2,37.4918750902,127.598814192
SH00003181,용문고등학교,1100000000,서울특별시,1129000000,성북구,1129012200,안암동2가,서울특별시 성북구 안암동2가 96-1,37.5881284,127.0250507
SH00009753,서울체육고등학교,1100000000,서울특별시,1171000000,송파구,1171011100,방이동,서울특별시 송파구 방이동 88-14,37.5216734,127.130579
SH00004549,서울컨벤션고등학교,1100000000,서울특별시,1174000000,강동구,1174010200,고덕동,서울특별시 강동구 고덕동 295-1,37.5592845,127.1576771
SH00004120,수택고등학교,4100000000,경기도,4131000000,구리시,4131010500,수택동,경기도 구리시 수택동 881,37.5946209,127.154211
SH00001819,숙명여자고등학교,1100000000,서울특별시,1168000000,강남구,1168011800,도곡동,서울특별시 강남구 도곡동 91,37.4907295,127.0533366
SH00007540,숙지고등학교,4100000000,경기도,4111500000,수원시 팔달구,4111513800,화서동,경기도 수원시 팔달구 화서동 65-3,37.2827182,126.9931992
SH00004509,순심고등학교,4700000000,경상북도,4785000000,칠곡군,4785025021,왜관읍,경상북도 칠곡군 왜관읍 왜관리 340,35.98719226,128.402476046
SH00001911,순심여자고등학교,4700000000,경상북도,4785000000,칠곡군,4785025021,왜관읍,경상북도 칠곡군 왜관읍 왜관리 776-9,35.9866107214,128.396708846
SH00005289,순창고등학교,5200000000,전북특별자치도,5277000000,순창군,5277025021,순창읍,전라북도 순창군 순창읍 순화리 78,35.3798856145,127.1405216506
SH00009012,순창제일고등학교,5200000000,전북특별자치도,5277000000,순창군,5277025023,순창읍,전라북도 순창군 순창읍 장덕리 100,35.3788325,127.1501772
SH00009038,순천강남여자고등학교,4600000000,전라남도,4615000000,순천시,4615013300,조례동,전라남도 순천시 조례동 561-4,34.962988,127.5248177
SH00006418,순천고등학교,4600000000,전라남도,4615000000,순천시,4615011700,인제동,전라남도 순천시 인제동 80,34.945559,127.4857905
SH00010562,순천공업고등학교,4600000000,전라남도,4615000000,순천시,4615013300,조례동,전라남도 순천시 조례동 1160,34.9568151,127.5162033
SH00010563,순천금당고등학교,4600000000,전라남도,4615000000,순천시,4615013300,조례동,전라남도 순천시 조례동 450-7,34.9512874,127.5243777
SH00003801,순천매산고등학교,4600000000,전라남도,4615000000,순천시,4615010700,매곡동,전라남도 순천시 매곡동 569-1,34.9577283,127.4806318
