fac_cd,fac_nm,ctp_cd,ctp_nm,sig_cd,sig_nm,emd_cd,emd_nm,all_addr_nm,lat,lon
502854,한국폴리텍 I 대학 제주캠퍼스,5000000000,제주특별자치도,5011000000,제주시,5011011700,아라일동,"제주특별자치도 제주시 산천단동3길 2 (아라일동, 한국폴리택대학제주캠퍼스) ",33.44741625200096,126.5614075859688
502876,홍익대학교,3600000000,세종특별자치시,3611000000,,3611025032,조치원읍,"세종특별자치시 조치원읍 세종로 2639 (신안리, 홍익대학교세종캠퍼스) ",36.62177270101253,127.28368953899458
502884,상명대학교,4400000000,충청남도,4413100000,천안시 동남구,4413111900,안서동,"충청남도 천안시 동남구 상명대길 31 (안서동, 상명대학교천안캠퍼스) ",36.83232428698479,127.18030955398036
502888,군산간호대학교,5200000000,전북특별자치도,5213000000,군산시,5213013900,개정동,"전라북도 군산시 동개정길 7 (개정동, 군산간호대학교) ",35.970581519013656,126.76052133399304
502889,기독간호대학교,2900000000,광주광역시,2915500000,남구,2915511300,양림동,"광주광역시 남구 백서로70번길 6 (양림동, 기독간호대학) ",35.13830779798269,126.91586886304452
502890,서울여자간호대학교,1100000000,서울특별시,1141000000,서대문구,1141011100,홍제동,"서울특별시 서대문구 간호대로 38 (홍제동, 서울여자간호대학교) ",37.5973326749915,126.94761890703782
502891,조선간호대학교,2900000000,광주광역시,2911000000,동구,2911011800,서석동,광주광역시 동구 조선대2길 70(서석동) 조선간호대학교,35.13780182303108,126.92879136798724
502892,한국폴리텍 V 대학 순천캠퍼스,4600000000,전라남도,4615000000,순천시,4615013300,조례동,"전라남도 순천시 기적의도서관1길 41 (조례동, 한국폴리텍대학순천캠퍼스) ",34.95234508902362,127.52560882400113
502921,한국농수산대학교,5200000000,전북특별자치도,5211300000,전주시 덕진구,5211313800,중동,전라북도 전주시 덕진구 콩쥐팥쥐로 1515(중동) ,35.826102424005434,127.06936808899526
502924,한국전통문화대학교,4400000000,충청남도,4476000000,부여군,4476031026,규암면,"충청남도 부여군 규암면 백제문로 367 (합정리, 한국전통문화대학교) ",36.30831284703415,126.89808787702046
502992,한국폴리텍 특성화대학 로봇캠퍼스,4700000000,경상북도,4723000000,영천시,4723011000,화룡동,경상북도 영천시 로봇캠퍼스로 1 (화룡동) ,35.97282793197113,128.92186187099577
502993,한국폴리텍 II 대학 화성캠퍼스,4100000000,경기도,4159000000,화성시,4159036034,팔탄면,경기도 화성시 팔탄면 제암고주로 108 ,37.13150777799612,126.88966291995932
503014,한국에너지공과대학교,4600000000,전라남도,4617000000,나주시,4617013400,빛가람동,전라남도 나주시 켄텍길 21(빛가람동) ,35.010573411031544,126.8033467279652
503030,한국폴리텍 VII 대학 진주캠퍼스,4800000000,경상남도,4817000000,진주시,4817012000,하대동,경상남도 진주시 모덕로 299(하대동) 한국폴리텍대학 진주캠퍼스,35.18989689501357,128.12786500898943
503036,한국폴리텍 VII 대학 동부산캠퍼스,2600000000,부산광역시,2671000000,기장군,2671025625,정관읍,부산광역시 기장군 정관읍 산단4로 2-69 ,35.312046310969656,129.18129597399243
503554,태재대학교,1100000000,서울특별시,1111000000,종로구,1111014900,원서동,서울특별시 종로구 창덕궁5길 22-8 (원서동) ,37.58359619997106,126.98853833002062
503563,영산대학교(해운대),2600000000,부산광역시,2635000000,해운대구,2635010100,반송동,부산광역시 해운대구 반송순환로 142 (반송동) 영산대학교 해운대캠퍼스,35.223772643969326,129.15741770495745
503564,영산대학교(양산),4800000000,경상남도,4833000000,양산시,4833011600,주남동,경상남도 양산시 주남로 288 (주남동) 영산대학교 양산캠퍼스,35.42681341098041,129.14910375999233
