corp_cd,corp_nm,ctp_cd,ctp_nm,sig_cd,sig_nm,emd_cd,emd_nm,all_addr_nm,lon,lat,corp_depth1_cd,corp_depth1,corp_depth2_cd,corp_depth2,corp_depth3_cd,corp_depth3,corp_depth4_cd,corp_depth4,corp_depth5_cd,corp_depth5
657002,(주)에이디테크놀로지,4100000000,경기도,4111700000,수원시 영통구,4111710400,하동,경기도 수원시 영통구 광교중앙로248번길 7-8 에이디테크놀로지 빌딩,127.0672986532,37.2911293239,C,제조업,26,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",261,반도체 제조업,2611,전자집적회로 제조업,26111,메모리용 전자집적회로 제조업
683469,일진전기(주),4100000000,경기도,4159000000,화성시,4159012600,안녕동,경기도 화성시  만년로 905-17,127.0041478712,37.1896399906,C,제조업,28,전기장비 제조업,283,절연선 및 케이블 제조업,2830,절연선 및 케이블 제조업,28303,절연 코드세트 및 기타 도체 제조업
117276,(주)네이처셀,1100000000,서울특별시,1156000000,영등포구,1156011000,여의도동,서울특별시 영등포구 국회대로76길 10 5층,126.9215575762,37.5306561597,C,제조업,21,의료용 물질 및 의약품 제조업,211,기초 의약물질 및 생물학적 제제 제조업,2110,기초 의약물질 및 생물학적 제제 제조업,21102,생물학적 제제 제조업
1042711,글로벌텍스프리(주),1100000000,서울특별시,1114000000,중구,1114012500,충무로2가,"서울특별시 중구 퇴계로 131 9층(충무로2가, 신일빌딩)",126.9863618862,37.5612833166,K,금융 및 보험업,66,금융 및 보험 관련 서비스업,661,금융 지원 서비스업,6619,기타 금융 지원 서비스업,,
159740,KISCO홀딩스(주),4800000000,경상남도,4812300000,창원시 성산구,4812312300,신촌동,경상남도 창원시 성산구  공단로103번길 12 한국철강(주),128.6405497265,35.2162672398,C,제조업,24,1차 금속 제조업,241,1차 철강 제조업,2413,철강관 제조업,24133,강관 가공품 및 관 연결구류 제조업
112332,미래에셋생명보험(주),1100000000,서울특별시,1156000000,영등포구,1156011000,여의도동,서울특별시 영등포구 국제금융로 56 미래에셋대우빌딩,126.9297154832,37.5223156763,K,금융 및 보험업,65,보험 및 연금업,651,보험업,6511,생명 보험업,65110,생명 보험업
139153,에코플라스틱(주),4700000000,경상북도,4713000000,경주시,4713012400,황성동,경상북도 경주시  공단로69번길 30 에코플라스틱(주),129.2236436317,35.8749587235,C,제조업,30,자동차 및 트레일러 제조업,303,자동차 신품 부품 제조업,3032,자동차 차체용 신품 부품 제조업,30320,자동차 차체용 신품 부품 제조업
141671,(주)오리콤,1100000000,서울특별시,1168000000,강남구,1168010800,논현동,서울특별시 강남구  언주로 726 두산빌딩,127.0351975001,37.519381641,M,"전문, 과학 및 기술 서비스업",71,전문 서비스업,713,광고업,7131,광고 대행업,71310,광고 대행업
149354,(주)종근당홀딩스,1100000000,서울특별시,1141000000,서대문구,1141010200,충정로3가,서울특별시 서대문구  충정로 8 종근당빌딩,126.9632067054,37.5597337024,C,제조업,21,의료용 물질 및 의약품 제조업,212,의약품 제조업,2123,동물용 의약품 제조업,21230,동물용 의약품 제조업
158024,케이비아이메탈(주),2700000000,대구광역시,2771000000,달성군,2771025328,논공읍,대구광역시 달성군 논공읍 논공로87길 88 갑을메탈 대구공장,128.4696747099,35.7305871883,C,제조업,24,1차 금속 제조업,242,1차 비철금속 제조업,2429,기타 1차 비철금속 제조업,24290,기타 1차 비철금속 제조업
152862,(주)코오롱,4100000000,경기도,4129000000,과천시,4129010900,별양동,경기 과천시 별양동 1-23 코오롱타워,126.9907577716,37.4254459245,K,금융 및 보험업,64,금융업,649,기타 금융업,6499,그 외 기타 금융업,64992,지주회사
153861,(주)태영건설,4100000000,경기도,4121000000,광명시,4121010600,일직동,경기도 광명시 신기로 20 -,126.883430009,37.419577339,F,건설업,41,종합 건설업,412,토목 건설업,4122,토목시설물 건설업,41221,도로 건설업
1042359,지엘팜텍(주),4100000000,경기도,4113100000,성남시 수정구,4113111600,금토동,경기도 성남시 수정구 달래내로 46 성남글로벌융합센터 210호,127.0948404118,37.4090288076,G,도매 및 소매업,46,도매 및 상품 중개업,464,생활용품 도매업,4641,"생활용 섬유제품, 의복, 의복 액세 서리 및 모피제품 도매업",46415,속옷 및 잠옷 도매업
357740,엔에이치엔케이씨피 주식회사,1100000000,서울특별시,1153000000,구로구,1153010200,구로동,서울특별시 구로구 디지털로26길 72 -,126.8965309081,37.4809955722,K,금융 및 보험업,66,금융 및 보험 관련 서비스업,661,금융 지원 서비스업,6619,기타 금융 지원 서비스업,,
377018,(주)기가레인,4100000000,경기도,4159000000,화성시,4159013800,방교동,경기도 화성시 동탄산단10길 61 -,127.0938040999,37.1807051124,C,제조업,26,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자부품 제조업,2622,인쇄회로기판 및 전자부품 실장기판 제조업,26224,전자부품 실장기판 제조업
384762,(주)파커스,4400000000,충청남도,4413300000,천안시 서북구,4413325322,성거읍,충남 천안시 성거읍 천흥리316-4,127.2119307801,36.8835259588,C,제조업,22,고무 및 플라스틱제품 제조업,221,고무제품 제조업,2219,기타 고무제품 제조업,22193,고무 의류 및 기타 위생용 비경화 고무제품 제조업
466428,(주)아미노로직스,1100000000,서울특별시,1168000000,강남구,1168010100,역삼동,서울특별시 강남구 역삼로 151 삼오빌딩3층 301호,127.0356626591,37.494923541,C,제조업,21,의료용 물질 및 의약품 제조업,211,기초 의약물질 및 생물학적 제제 제조업,2110,기초 의약물질 및 생물학적 제제 제조업,21102,생물학적 제제 제조업
667425,(주)에이팩트,4100000000,경기도,4155000000,안성시,4155039021,일죽면,경기도 안성시 일죽면 서동대로 7280-26 &nbsp,127.4571755012,37.0862017087,C,제조업,26,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",261,반도체 제조업,2612,"다이오드, 트랜지스터 및 유사 반도체소자 제조업",,
838005,(주)서진시스템,4100000000,경기도,4119600000,부천시 오정구,4119610100,오정동,경기도 부천시 오정구 산업로 20-22 &nbsp,126.7810849761,37.5285805472,C,제조업,28,전기장비 제조업,289,기타 전기장비 제조업,2890,기타 전기장비 제조업,28903,교통 신호장치 제조업
129509,(주)한익스프레스,4100000000,경기도,4159000000,화성시,4159040021,양감면,경기도 화성시 양감면 초록로 103 (주)한익스프레스,126.9545528348,37.0778558728,H,운수 및 창고업,49,육상운송 및 파이프라인 운송업,493,도로 화물 운송업,4930,도로 화물 운송업,49301,일반 화물자동차 운송업
1372782,(주)엑스게이트,4100000000,경기도,4129000000,과천시,4129010300,갈현동,"경기도 과천시 과천대로7나길 34 3층(갈현동, 가비아@)",126.9783324884,37.417315765,J,정보통신업,58,출판업,582,소프트웨어 개발 및 공급업,5822,시스템ㆍ응용 소프트웨어 개발 및 공급업,58221,시스템 소프트웨어 개발 및 공급업
962922,(주)팬젠,4100000000,경기도,4111700000,수원시 영통구,4111710200,원천동,"경기도 수원시 영통구 신원로 306, 2동 4층(원천동 영통이노플렉스) &nbsp",127.0619884419,37.2623536344,C,제조업,21,의료용 물질 및 의약품 제조업,212,의약품 제조업,2123,동물용 의약품 제조업,21230,동물용 의약품 제조업
1453944,(주)벡트,1100000000,서울특별시,1168000000,강남구,1168010100,역삼동,서울특별시 강남구 역삼로 229 &nbsp,127.0417889508,37.4972933427,C,제조업,26,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",265,영상 및 음향기기 제조업,2651,"텔레비전, 비디오 및 기타 영상기기 제조업",26519,비디오 및 기타 영상기기 제조업
223513,제이씨현시스템(주),1100000000,서울특별시,1117000000,용산구,1117012300,신계동,서울특별시 용산구  새창로45길 74,126.9660001697,37.5344096236,G,도매 및 소매업,46,도매 및 상품 중개업,465,기계장비 및 관련 물품 도매업,4651,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510,"컴퓨터 및 주변장치, 소프트웨어 도매업"
121534,(주)MH에탄올,4800000000,경상남도,4812700000,창원시 마산회원구,4812725025,내서읍,경상남도 창원시 마산회원구 내서읍 광려천남로 25,128.5137500401,35.2490583841,C,제조업,11,음료 제조업,111,알코올음료 제조업,1112,증류주 및 합성주 제조업,11121,주정 제조업
366845,(주)탑엔지니어링,4700000000,경상북도,4719000000,구미시,4719025323,고아읍,경상북도 구미시  고아읍 농공단지길 53-17,128.3229865359,36.217339632,C,제조업,29,기타 기계 및 장비 제조업,292,특수 목적용 기계 제조업,2927,반도체 및 디스플레이 제조용 기계 제조업,29272,디스플레이 제조용 기계 제조업
126292,삼성카드(주),1100000000,서울특별시,1114000000,중구,1114011400,태평로2가,서울특별시 중구  세종대로 67,126.9755939646,37.5623085378,K,금융 및 보험업,64,금융업,649,기타 금융업,6491,여신금융업,64913,신용카드 및 할부금융업
137252,사조동아원(주),1100000000,서울특별시,1165000000,서초구,1165010100,방배동,서울특별시 서초구 방배천로2길 12 사조빌딩,126.9835637977,37.4766986709,C,제조업,10,식료품 제조업,105,낙농제품 및 식용빙과류 제조업,1050,낙농제품 및 식용빙과류 제조업,10502,아이스크림 및 기타 식용빙과류 제조업
1796858,신영해피투모로우제10호기업인수목적 주식회사,1100000000,서울특별시,1156000000,영등포구,1156011000,여의도동,"서울특별시 영등포구 국제금융로8길 16, 5층(여의도동, 신영증권빌딩)",126.9288847674,37.5212973164,K,금융 및 보험업,66,금융 및 보험 관련 서비스업,661,금융 지원 서비스업,6619,기타 금융 지원 서비스업,66199,그 외 기타 금융 지원 서비스업
140177,(주)지에스리테일,1100000000,서울특별시,1168000000,강남구,1168010100,역삼동,서울특별시 강남구 논현로 508GS타워(역삼동 679),127.0373364002,37.5019949323,G,도매 및 소매업,47,소매업; 자동차 제외,471,종합 소매업,4712,음ㆍ식료품 위주 종합 소매업,47122,체인화 편의점
1813377,에이치엠씨아이비제7호기업인수목적(주),1100000000,서울특별시,1156000000,영등포구,1156011000,여의도동,서울특별시 영등포구 국제금융로2길 28 &nbsp,126.9244945361,37.5240806712,K,금융 및 보험업,66,금융 및 보험 관련 서비스업,661,금융 지원 서비스업,6619,기타 금융 지원 서비스업,66199,그 외 기타 금융 지원 서비스업
