fac_cd,fac_nm,all_addr_nm,lat,lon
502881,세종사이버대학교 경영대학원,"서울특별시 광진구 군자로 121 (군자동, 세종사이버대학) ",37.55372836703098,127.07288825502556
502882,경기대학교 공학대학원,"경기도 수원시 영통구 광교산로 154-42 (이의동, 경기대학교) ",37.30119998498446,127.03997807996194
502883,부산외국어대학교 산업・경영대학원,"부산광역시 금정구 금샘로485번길 65 (남산동, 부산외국어대학교) ",35.26711852997822,129.0810380530258
502884,상명대학교,"충청남도 천안시 동남구 상명대길 31 (안서동, 상명대학교천안캠퍼스) ",36.832324286984786,127.18030955398036
502885,상명대학교 대학원,"충청남도 천안시 동남구 상명대길 31 (안서동, 상명대학교천안캠퍼스) ",36.832324286984786,127.18030955398036
502886,대구가톨릭대학교 유아교육대학원,"경상북도 경산시 하양읍 하양로 13-13 (금락리, 대구가톨릭대학교) ",35.91511521699591,128.80700417196311
502887,평택대학교 통번역대학원,"경기도 평택시 서동대로 3825 (용이동, 평택대학교) ",36.99563529799802,127.13406439301785
502888,군산간호대학교,"전라북도 군산시 동개정길 7 (개정동, 군산간호대학교) ",35.970581519013656,126.76052133399305
502889,기독간호대학교,"광주광역시 남구 백서로70번길 6 (양림동, 기독간호대학) ",35.13830779798269,126.91586886304452
502890,서울여자간호대학교,"서울특별시 서대문구 간호대로 38 (홍제동, 서울여자간호대학교) ",37.5973326749915,126.94761890703782
502891,조선간호대학교,광주광역시 동구 조선대2길 70(서석동) 조선간호대학교,35.13780182303108,126.92879136798724
502892,한국폴리텍 V 대학 순천캠퍼스,"전라남도 순천시 기적의도서관1길 41 (조례동, 한국폴리텍대학순천캠퍼스) ",34.95234508902362,127.52560882400113
502893,고려대학교(세종) 문화스포츠대학원,"세종특별자치시 조치원읍 세종로 2511 (서창리, 고려대학교세종캠퍼스) ",36.6116961819735,127.29272015998319
502894,한양대학교(ERICA) 융합산업대학원,"경기도 안산시 상록구 한양대학로 55 (사동, 한양대학교) ",37.30122479801116,126.83402084501037
502895,한림대학교 글로벌협력대학원,강원특별자치도 춘천시 한림대학길 1 (옥천동) ,37.8861056780176,127.73990466303168
502896,한국외국어대학교 KFL대학원,"서울특별시 동대문구 이문로 107 (이문동, 한국외국어대학교) ",37.597275737988504,127.05831344500409
502897,강남대학교 융복합대학원,"경기도 용인시 기흥구 강남로 40 (구갈동, 강남대학교) ",37.27679168401187,127.13339446496241
502898,전주대학교 경영행정대학원,"전라북도 전주시 완산구 천잠로 303 (효자동2가, 전주대학교) ",35.81709249699895,127.08501643303266
502899,수원대학교 공공정책대학원,"경기도 화성시 봉담읍 와우안길 17 (와우리, 수원대학교) ",37.20807333801334,126.98017820095997
502900,수원대학교 문화예술대학원,"경기도 화성시 봉담읍 와우안길 17 (와우리, 수원대학교) ",37.20807333801334,126.98017820095997
502901,동의대학교 행정복지대학원,"부산광역시 부산진구 엄광로 176 (가야동, 동의대학교) ",35.14373104799813,129.0353173979659
502902,동의대학교 부동산대학원,"부산광역시 부산진구 엄광로 176 (가야동, 동의대학교) ",35.14373104799813,129.0353173979659
502903,장로회신학대학교 기독교와사회대학원,"서울특별시 광진구 광장로5길 25-1 (광장동, 장로회신학대학교) ",37.549338778003225,127.10489916097389
502904,홍익대학교 패션대학원,"서울특별시 마포구 와우산로 94 (상수동, 홍익대학교) ",37.54921747197514,126.92499020902594
502905,남부대학교 문화복지대학원,광주광역시 광산구 남부대길 1(월계동) ,35.2069619099861,126.84225845698168
502906,대진대학교 공공정책대학원,"경기도 포천시 호국로 1007 (선단동, 대진대학교) ",37.87414313503174,127.15830583699832
502907,청주대학교 사회복지・공공정책대학원,"충청북도 청주시 청원구 대성로 298 (내덕동, 청주대학교) ",36.65173966401472,127.49269063497701
502908,청주대학교 예술대학원,"충청북도 청주시 청원구 대성로 298 (내덕동, 청주대학교) ",36.65173966401472,127.49269063497701
502909,광운대학교 스마트융합대학원,"서울특별시 노원구 광운로 20 (월계동, 광운대학교) ",37.62013710903006,127.0588156690046
502910,청주대학교 융합신기술대학원,"충청북도 청주시 청원구 대성로 298 (내덕동, 청주대학교) ",36.65173966401472,127.49269063497701
502911,숙명여자대학교 정책대학원,"서울특별시 용산구 청파로47길 100 (청파동2가, 숙명여자대학교) ",37.545294066978954,126.96467958497003
502912,숙명여자대학교 인적자원개발대학원,"서울특별시 용산구 청파로47길 100 (청파동2가, 숙명여자대학교) ",37.545294066978954,126.96467958497003
502913,숙명여자대학교 심리치료대학원,"서울특별시 용산구 청파로47길 100 (청파동2가, 숙명여자대학교) ",37.545294066978954,126.96467958497003
502914,숙명여자대학교 문화예술대학원,"서울특별시 용산구 청파로47길 100 (청파동2가, 숙명여자대학교) ",37.545294066978954,126.96467958497003
502915,숙명여자대학교 TESOL・국제학대학원,"서울특별시 용산구 청파로47길 100 (청파동2가, 숙명여자대학교) ",37.545294066978954,126.96467958497003
502916,신한대학교 일반대학원,"경기도 동두천시 벌마들로40번길 30 (상패동, 신한대학교) ",37.903870611000265,127.03788749503074
502917,제주대학교 보건복지대학원,"제주특별자치도 제주시 제주대학로 102 (아라일동, 제주대학교) ",33.45583376601457,126.56196914198702
502918,대구가톨릭대학교 유스티노자유대학원,"대구광역시 중구 명륜로12길 47 (남산동, 대구가톨릭대학교신학대학) ",35.86122992203116,128.5881814900014
502919,서울시립대학교 도시보건대학원,"서울특별시 동대문구 서울시립대로 163 (전농동, 서울시립대학교) ",37.58252260200938,127.05921030897001
502920,차의과학대학교 임상상담심리대학원,"경기도 포천시 해룡로 120 (동교동, 차의과학대학교) ",37.856442835985604,127.13738895897987
502921,한국농수산대학교,전라북도 전주시 덕진구 콩쥐팥쥐로 1515(중동) ,35.826102424005434,127.06936808899526
502922,서울기독대학교 문화산업경영대학원,"서울특별시 은평구 갈현로4길 26-2 (신사동, 서울기독대학교) ",37.601127511971264,126.91212250499859
502923,서울기독대학교 연합신학대학원,"서울특별시 은평구 갈현로4길 26-2 (신사동, 서울기독대학교) ",37.601127511971264,126.91212250499859
502924,한국전통문화대학교,"충청남도 부여군 규암면 백제문로 367 (합정리, 한국전통문화대학교) ",36.30831284703415,126.89808787702046
502925,가톨릭관동대학교 보건의료융합대학원,강원특별자치도 강릉시 범일로579번길 24 (내곡동) ,37.736598615009505,128.8765369769988
502926,부산대학교 금융대학원,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교) ",35.23147554403204,129.0840635939944
502927,국립한국해양대학교 글로벌물류대학원,부산광역시 영도구 태종로 727 (동삼동) ,35.07807712497055,129.09106939499515
502928,국립한국해양대학교 해양금융대학원,부산광역시 영도구 태종로 727 (동삼동) ,35.07807712497055,129.09106939499515
502929,안양대학교 글로벌대학원,"경기도 안양시 만안구 삼덕로37번길 22 (안양동, 안양대학교) ",37.39178641602956,126.92046361196363
502930,경기대학교 한류문화대학원,"서울특별시 서대문구 경기대로9길 24 (충정로2가, 경기대학교) ",37.56475122400975,126.96224300896642
502931,상지대학교 사회융합대학원,강원특별자치도 원주시 상지대길 83 (우산동) ,37.37103654198916,127.92583585803183
