BSI업종코드,SRR업종코드,계층구분코드,국내업체업종세그먼트코드,국외업체업종세그먼트코드,등록경로구분코드,등록부서코드,등록사용자ID,등록일시,수정경로구분코드,수정부서코드,수정사용자ID,수정일시,업종영문명,업종코드,업종코드버전,업종한글명,원본업종코드
,271,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of ballasts for lamps,28113,10,방전램프용 안정기 제조업,C28113
,271,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,"Manufacture of other electric motors, generators and transformers",28119,10,기타 전기 변환장치 제조업,C28119
,271,3,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of electricity distribution and control apparatuses,2812,10,전기 공급 및 제어장치 제조업,C2812
,271,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,"Manufacture of apparatuses for switching, protecting electrical circuits used in power distribution systems",28121,10,"전기회로 개폐, 보호장치 제조업",C28121
,271,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of apparatuses for connecting electrical circuits used in power distribution systems,28122,10,전기회로 접속장치 제조업,C28122
,272,2,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of batteries and accumulators,282,10,일차전지 및 축전지 제조업,C282
,272,3,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of batteries and accumulators,2820,10,일차전지 및 축전지 제조업,C2820
,272,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of batteries,28201,10,일차전지 제조업,C28201
,272,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of accumulators,28202,10,축전지 제조업,C28202
,273,2,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of insulated wires and cables,283,10,절연선 및 케이블 제조업,C283
,273,3,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of insulated wires and cables,2830,10,절연선 및 케이블 제조업,C2830
,273,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of optical fiber cables ,28301,10,광섬유 케이블 제조업,C28301
,273,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of other insulated wires and cables,28302,10,기타 절연선 및 케이블 제조업,C28302
,273,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of insulated codes sets and other conductors for electricity,28303,10,절연 코드세트 및 기타 도체 제조업,C28303
,274,2,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of electric tubes and bulbs and lighting equipment,284,10,전구 및 조명장치 제조업,C284
,274,3,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of electric lamps and bulbs,2841,10,전구 및 램프 제조업,C2841
,274,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of electric lamps and bulbs,28410,10,전구 및 램프 제조업,C28410
,274,3,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of lighting fixtures,2842,10,조명장치 제조업,C2842
,274,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of electric lighting fixtures for transportation equipment,28421,10,운송장비용 조명장치 제조업,C28421
,274,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of general electric lighting fixtures,28422,10,일반용 전기 조명장치 제조업,C28422
,274,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of electric lighting fixtures for exhibition and advertisement,28423,10,전시 및 광고용 조명장치 제조업,C28423
,274,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of other lighting fixtures,28429,10,기타 조명장치 제조업,C28429
,275,2,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of domestic appliances,285,10,가정용 기기 제조업,C285
,275,3,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of domestic electric appliances,2851,10,가정용 전기기기 제조업,C2851
,275,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of electric appliances for kitchen,28511,10,주방용 전기기기 제조업,C28511
,275,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of of domestic electrothermic appliances,28512,10,가정용 전기 난방기기 제조업,C28512
,275,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of other domestic electric appliances,28519,10,기타 가정용 전기기기 제조업,C28519
,275,3,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of domestic non-electric cooking and heating appliances,2852,10,가정용 비전기식 조리 및 난방 기구 제조업,C2852
,275,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of domestic non-electric cooking and heating appliances,28520,10,가정용 비전기식 조리 및 난방 기구 제조업,C28520
,279,2,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of other electrical equipment,289,10,기타 전기장비 제조업,C289
,279,3,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of other electrical equipment,2890,10,기타 전기장비 제조업,C2890
,279,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of electric alarm and signalling equipment ,28901,10,전기경보 및 신호장치 제조업,C28901
,279,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of electrical carbon products and insulators,28902,10,전기용 탄소제품 및 절연제품 제조업,C28902
,279,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of traffic signalling equipment ,28903,10,교통 신호장치 제조업,C28903
,28,1,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of other machinery and equipment,29,10,기타 기계 및 장비 제조업,C29
,281,2,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of general purpose machinery,291,10,일반 목적용 기계 제조업,C291
,2811,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of internal combustion piston engines,29111,10,내연기관 제조업,C29111
,2811,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of other engines and turbines,29119,10,기타 기관 및 터빈 제조업,C29119
,281A,3,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of fluid power equipment,2912,10,유압기기 제조업,C2912
,281A,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of fluid power equipment,29120,10,유압기기 제조업,C29120
,281A,3,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,"Manufacture of pumps and compressors including taps, valves and similar products ",2913,10,"펌프 및 압축기 제조업; 탭, 밸브 및 유사장치 제조 포함",C2913
,281A,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of pumps for liquids,29131,10,액체 펌프 제조업,C29131
,281A,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of air or vacuum pumps and compressors,29132,10,기체 펌프 및 압축기 제조업,C29132
,281A,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,"Manufacture of taps, valves and similar products",29133,10,"탭, 밸브 및 유사장치 제조업",C29133
,2814,3,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,"Manufacture of bearings, gears and driving elements",2914,10,"베어링, 기어 및 동력전달장치 제조업",C2914
,2814,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of ball and roller bearings,29141,10,구름베어링 제조업,C29141
,2814,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of gears and driving elements,29142,10,기어 및 동력전달장치 제조업,C29142
,281B,3,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,"Manufacture of industrial ovens, furnaces and furnace burners",2915,10,"산업용 오븐, 노 및 노용 버너 제조업",C2915
,281B,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,"Manufacture of industrial ovens, furnaces and furnace burners",29150,10,"산업용 오븐, 노 및 노용 버너 제조업",C29150
,2816,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of work trucks and loading or unloading machinery,29161,10,산업용 트럭 및 적재기 제조업,C29161
,2816,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of lifting equipment,29162,10,승강기 제조업,C29162
,2816,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of conveyors,29163,10,컨베이어장치 제조업,C29163
,2816,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of other lifting and handling equipment,29169,10,기타 물품 취급장비 제조업,C29169
,281B,3,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,"Manufacture of refrigerating, air conditioning, filtering, distilling equipment and gas generators",2917,10,"냉각, 공기조화, 여과, 증류 및 가스발생기 제조업",C2917
,281B,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of refrigerating or freezing industrial equipment,29171,10,산업용 냉장 및 냉동 장비 제조업,C29171
,281B,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of non-domestic fans and ventilators,29173,10,산업용 송풍기 및 배기장치 제조업,C29173
,281B,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of filtering or purifying machinery for air or gases,29174,10,기체 여과기 제조업,C29174
,281B,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of filtering or purifying machinery for liquids or oils,29175,10,액체 여과기 제조업,C29175
,281B,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,"Manufacture of distilling machinery, heat exchangers and gas generators",29176,10,"증류기, 열교환기 및 가스발생기 제조업",C29176
,D,2,5,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,"Electric power generation, transmission and distribution",351,10,전기업,D351
,I,4,5,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Industrial restaurants,56130,10,기관 구내식당업,I56130
,I,3,5,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Event catering and mobile food service activities,5614,10,출장 및 이동 음식점업,I5614
,I,4,5,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Event catering,56141,10,출장 음식 서비스업,I56141
,I,4,5,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Mobile food services activities,56142,10,이동 음식점업,I56142
,222,4,1,1,#,12055,92276,2017-11-14 18:52,#,12055,92276,2017-11-14 18:52,"Manufacture of plastic laminating, coating and other surface processing products",22292,10,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",C22292
,231,4,2,2,#,12055,92276,2017-11-14 18:52,#,12055,92276,2017-11-14 18:52,Manufacture of flat glass,23111,10,판유리 제조업,C23111
,231,4,2,2,#,12055,92276,2017-11-14 18:52,#,12055,92276,2017-11-14 18:52,Manufacture of safety glass,23112,10,안전유리 제조업,C23112
,231,4,2,2,#,12055,92276,2017-11-14 18:52,#,12055,92276,2017-11-14 18:52,Manufacture of other products made of flat glass,23119,10,기타 판유리 가공품 제조업,C23119
,37_39,3,5,3,#,12055,92276,2017-11-14 18:52,#,12055,92276,2017-11-14 18:52,"Dismantling, sorting and recovering metal waste",3831,10,"금속류 해체, 선별 및 원료 재생업",E3831
,37_39,4,5,3,#,12055,92276,2017-11-14 18:52,#,12055,92276,2017-11-14 18:52,Dismantling and sorting metal waste,38311,10,금속류 해체 및 선별업,E38311
,37_39,4,5,3,#,12055,92276,2017-11-14 18:52,#,12055,92276,2017-11-14 18:52,Recovery of metal waste,38312,10,금속류 원료 재생업,E38312
,37_39,3,5,3,#,12055,92276,2017-11-14 18:52,#,12055,92276,2017-11-14 18:52,"Dismantling, sorting and recovering non-metal waste",3832,10,"비금속류 해체, 선별 및 원료 재생업",E3832
,37_39,4,5,3,#,12055,92276,2017-11-14 18:52,#,12055,92276,2017-11-14 18:52,Dismantling and sorting non-metal waste,38321,10,비금속류 해체 및 선별업,E38321
,37_39,4,5,3,#,12055,92276,2017-11-14 18:52,#,12055,92276,2017-11-14 18:52,Recovery of non-metal waste,38322,10,비금속류 원료 재생업,E38322
